"행정구역별(읍면동)",2019,2019,2019,2019,2019,2019,2019,2019
"행정구역별(읍면동)",일반가구_계,1인,2인,3인,4인,5인,6인,7인 이상
"전국",20343188,6147516,5663330,4217736,3300114,801048,166866,46578
"읍부",1937519,563446,573991,390046,301488,83859,18831,5858
"면부",1968717,686531,711332,312768,175464,58445,17324,6853
"동부",16436952,4897539,4378007,3514922,2823162,658744,130711,33867
"서울특별시",3896389,1299787,1005065,801819,614026,138596,29336,7760
"부산광역시",1377030,423227,400961,286644,208618,45849,9348,2383
"대구광역시",968620,284416,267961,207953,163754,35926,6983,1627
"인천광역시",1120576,297865,305688,253332,203577,47920,9663,2531
"광주광역시",587159,182364,156984,117401,98248,26302,4676,1184
"대전광역시",609043,205165,158832,119508,96271,23465,4623,1179
"울산광역시",437094,116015,119926,100984,80479,16182,2805,703
"세종특별자치시",129664,39078,31236,26828,24944,6186,1096,296
"경기도",4907660,1290893,1284977,1106151,943962,223584,45755,12338
"강원도",633942,208857,200035,117416,79476,21560,5043,1555
"충청북도",654713,215196,191655,123239,91764,25674,5503,1682
"충청남도",864102,280773,256360,160674,122401,33995,7444,2455
"전라북도",738307,238746,226681,135931,98322,29636,6775,2216
"전라남도",741026,238147,245725,132242,88381,27679,6605,2247
"경상북도",1102934,360213,352260,206493,139394,34712,7619,2243
"경상남도",1321213,391421,387575,272119,207863,49606,9880,2749
"제주특별자치도",253716,75353,71409,49002,38634,14176,3712,1430
